id,name,airport_code,airport_name,city,country,terminal,location,open_hours,amenities,access_methods,lounge_type,description,conditions,rating,review_count,max_capacity,coordinates,latitude,longitude,elevation_ft,continent,iso_country,wikipedia_link,images,source,created_at
lcg_sala_vip,Sala VIP,LCG,A Coruna A Coruna,A,Spain,,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"43.302101,-8.37726",43.302101,-8.37726,326,EU,ES,https://en.wikipedia.org/wiki/A_Coru%C3%B1a_Airport,[],PriorityPass,2025-11-22T22:00:47.754606
pp_lcg_001,Sala VIP,LCG,A Coruña Airport,A,Spain,,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Sala VIP is a Priority Pass lounge. located at A Coruna A Coruna.,,4.0,0,50,"43.302101,-8.37726",43.302101,-8.37726,326,EU,ES,https://en.wikipedia.org/wiki/A_Coru%C3%B1a_Airport,[],Supabase,2025-11-22T22:00:47.762408
aal_aalborg_airport_lounge,Aalborg Airport Lounge,AAL,Aalborg Aalborg,Aalborg,Denmark,,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"57.094763,9.84993",57.094763,9.84993,10,EU,DK,https://en.wikipedia.org/wiki/Aalborg_Airport,[],PriorityPass,2025-11-22T22:00:47.754624
pp_aal_001,Aalborg Airport Lounge,AAL,Aalborg Airport,Aalborg,Denmark,,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Aalborg Airport Lounge is a Priority Pass lounge. located at Aalborg Aalborg.,,4.0,0,50,"57.094763,9.84993",57.094763,9.84993,10,EU,DK,https://en.wikipedia.org/wiki/Aalborg_Airport,[],Supabase,2025-11-22T22:00:47.762420
abz_northern_lights_executive_lounge,Northern Lights Executive Lounge,ABZ,Aberdeen Dyce,Aberdeen,United Kingdom,,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"57.2019,-2.19778",57.2019,-2.19778,215,EU,GB,https://en.wikipedia.org/wiki/Aberdeen_Airport,[],PriorityPass,2025-11-22T22:00:47.754631
pp_abz_001,Northern Lights Executive Lounge,ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Northern Lights Executive Lounge is a Priority Pass lounge. located at Aberdeen Dyce.,,4.0,0,50,"57.2019,-2.19778",57.2019,-2.19778,215,EU,GB,https://en.wikipedia.org/wiki/Aberdeen_Airport,[],Supabase,2025-11-22T22:00:47.762429
ahb_hayyak_lounge,Hayyak Lounge,AHB,Abha Abha,Abha,Saudi Arabia,,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"18.2404,42.656601",18.2404,42.656601,6858,AS,SA,https://en.wikipedia.org/wiki/Abha_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754636
pp_ahb_001,Hayyak Lounge,AHB,Abha International Airport,Abha,Saudi Arabia,,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Hayyak Lounge is a Priority Pass lounge. located at Abha Abha.,,4.0,0,50,"18.2404,42.656601",18.2404,42.656601,6858,AS,SA,https://en.wikipedia.org/wiki/Abha_International_Airport,[],Supabase,2025-11-22T22:00:47.762436
auh_al_dhabi_lounge_terminal_1,Al Dhabi Lounge,AUH,Abu Dhabi Abu Dhabi Intl,Abu,United Arab Emirates,Terminal 1,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754642
pp_auh_001,Al Dhabi Lounge,AUH,Zayed International Airport,Abu,United Arab Emirates,Terminal 1,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Al Dhabi Lounge is a Priority Pass lounge. located at Abu Dhabi Abu Dhabi Intl. in Terminal 1.,,4.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],Supabase,2025-11-22T22:00:47.762444
auh_al_ghazal_lounge_terminal_2,Al Ghazal Lounge,AUH,Abu Dhabi Abu Dhabi Intl,Abu,United Arab Emirates,Terminal 2,Airside - after Immigration turn left and walk straight. The lounge is located on,24 hours daily,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,Conditions of entry to any Diners Club Airport Lounge may change from time,0.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754653
pp_auh_003,Al Ghazal Lounge,AUH,Zayed International Airport,Abu,United Arab Emirates,Terminal 2,Airside - after Immigration turn left and walk straight. The lounge is located on,24 hours daily,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Al Ghazal Lounge is a Priority Pass lounge. located at Abu Dhabi Abu Dhabi Intl. in Terminal 2. (Airside - after Immigration turn left and walk straight. The lounge is located on). Access conditions: Conditions of entry to any Diners Club Airport Lounge may change from time,,4.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],Supabase,2025-11-22T22:00:47.762461
auh_al_reem_lounge_terminal_1,Al Reem Lounge,AUH,Abu Dhabi Abu Dhabi Intl,Abu,United Arab Emirates,Terminal 1,Airside - after Immigration turn right and take the lift to the 1st Floor. Transit,24 hours daily.,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,Maximum 4 hour stay - Children under 2 years are admitted free - All children,0.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754648
pp_auh_002,Al Reem Lounge,AUH,Zayed International Airport,Abu,United Arab Emirates,Terminal 1,Airside - after Immigration turn right and take the lift to the 1st Floor. Transit,24 hours daily.,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,Al Reem Lounge is a Priority Pass lounge. located at Abu Dhabi Abu Dhabi Intl. in Terminal 1. (Airside - after Immigration turn right and take the lift to the 1st Floor. Transit). Access conditions: Maximum 4 hour stay - Children under 2 years are admitted free - All children,,4.0,0,50,"24.443764,54.651718",24.443764,54.651718,88,AS,AE,https://en.wikipedia.org/wiki/Abu_Dhabi_International_Airport,[],Supabase,2025-11-22T22:00:47.762453
abv__9tysix_lounge_domestic_terminal,@9tysix Lounge,ABV,Abuja Nnamdi Azikiwe Intl,Abuja,Nigeria,Domestic Terminal,,,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,,0.0,0,50,"9.00679,7.26317",9.00679,7.26317,1123,AF,NG,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754658
pp_abv_001,@9tysix Lounge,ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,Domestic Terminal,,24 hours,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating"", ""Quiet Environment""]","[""Priority Pass"", ""Day Pass""]",independent,@9tysix Lounge is a Priority Pass lounge. located at Abuja Nnamdi Azikiwe Intl. in Domestic Terminal.,,4.0,0,50,"9.00679,7.26317",9.00679,7.26317,1123,AF,NG,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,[],Supabase,2025-11-22T22:00:47.762469
abv_airspace_lounge_domestic_terminal,Airspace Lounge,ABV,Abuja Nnamdi Azikiwe Intl,Abuja,Nigeria,Domestic Terminal,Airside - located on the 2nd Floor of the Departure Hall.,06:00 - last flight.,"[""Free Wi-Fi"", ""Food & Beverages"", ""Comfortable Seating""]","[""Priority Pass""]",independent,,Children under 5 years are admitted free.,0.0,0,50,"9.00679,7.26317",9.00679,7.26317,1123,AF,NG,https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,[],PriorityPass,2025-11-22T22:00:47.754663
